MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,PLX_VALUE,FLUX_V,FLUX_B,OTYPE,SCRIPT_NUMBER_ID,distance_pc,M_V,luminosity,B-V,temperature_K
BD+46   417,01 40 50.2499,+47 24 01.182,14,14,0.0441,0.0353,90,A,O,2020yCat.1350....0G,4.9767,9.35,10.03,Star,0,0.2009363634536942,17.834707309334497,5.782519104274164e-06,0.6799999999999997,5670.983533865835
BD+46   418,01 40 54.0931,+46 58 58.436,14,14,0.0288,0.02,90,A,O,2020yCat.1350....0G,3.7186,9.53,9.71,Star,0,0.2689184101543592,17.381897324793506,8.774877657345978e-06,0.1800000000000015,8321.091831351974
BD+46   420,01 41 15.5024,+46 52 08.518,14,14,0.1018,0.0816,90,A,O,2020yCat.1350....0G,3.3043,9.95,11.04,Star,0,0.3026359592046727,17.545397351882613,7.54815933644316e-06,1.0899999999999999,4536.545582559669
BD+46   422,01 41 32.2268,+47 20 49.220,14,14,0.0187,0.0122,90,A,O,2020yCat.1350....0G,0.8086,9.85,11.14,Star,0,1.2367054167697256,14.388668684988277,0.00013820779112212254,1.290000000000001,4139.397455562466
HD  10286,01 41 39.5426,+46 48 44.842,14,14,0.0192,0.017,90,A,O,2020yCat.1350....0G,6.7876,8.53,8.97,HighPM*,0,0.14732747952148034,17.688581204975875,6.615573791443807e-06,0.4400000000000013,6674.161523966179
BD+46   425,01 41 42.9299,+47 15 57.441,14,14,0.0268,0.0239,90,A,O,2020yCat.1350....0G,0.9649,9.21,10.87,Star,0,1.0363768266141569,14.132411532011314,0.0001749989275491958,1.6599999999999984,3567.7091222374365
HD  10321,01 41 53.5209,+46 45 32.395,14,14,0.0188,0.0162,90,A,O,2020yCat.1350....0G,3.2164,9.16,9.32,Star,0,0.31090660365626166,16.696850267220242,1.6491489899350845e-05,0.16000000000000014,8486.084510400657
BD+46   427,01 42 32.3040,+47 35 31.520,14,14,0.0134,0.0119,90,A,O,2020yCat.1350....0G,5.2473,9.31,9.69,EmLine*,0,0.19057420006479522,17.909679472525962,5.396699185802495e-06,0.379999999999999,6988.564781536707
BD+46   432,01 44 19.7740,+47 08 49.734,14,14,0.018,0.0138,90,A,O,2020yCat.1350....0G,2.2617,9.38,10.88,Star,0,0.4421452889419464,16.152174990159505,2.7235164574421405e-05,1.5,3793.5064935064934
BD+46   433,01 44 52.6236,+47 08 14.375,14,14,0.0176,0.0154,90,A,O,2020yCat.1350....0G,2.0142,9.46,10.59,Star,0,0.49647502730612647,15.980512958158283,3.190030363039204e-05,1.129999999999999,4450.829467005809
