MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,PLX_VALUE,FLUX_V,FLUX_B,OTYPE,SCRIPT_NUMBER_ID
V* V1425 Cyg,21 11 01.7779,+55 19 55.984,14,14,0.0343,0.0323,90,A,O,2020yCat.1350....0G,1.9053,7.73,7.79,SB*,0
HD 235458,21 12 13.5024,+55 20 06.090,14,14,0.0107,0.0099,90,A,O,2020yCat.1350....0G,2.2308,9.32,10.45,Star,0
HD 202346,21 13 03.1917,+55 24 05.742,14,14,0.0156,0.0147,90,A,O,2020yCat.1350....0G,2.4444,8.17,9.49,Star,0
HD 202642,21 15 09.7745,+55 30 34.885,11,11,0.48,0.52,90,A,O,2007A&A...474..653V,5.16,8.12,8.25,**,0
V* V736 Cep,21 16 29.1133,+55 23 10.225,14,14,0.0098,0.0099,90,A,O,2020yCat.1350....0G,2.6129,9.851,10.32,EclBin,0
HD 202877,21 16 42.1736,+54 51 07.365,14,14,0.0219,0.0221,90,A,O,2020yCat.1350....0G,4.0233,8.5,8.95,SB*,0
HD 235479,21 16 57.9288,+55 05 10.643,14,14,0.0111,0.0118,90,A,O,2020yCat.1350....0G,4.9768,9.06,9.33,Star,0
HD 202970,21 17 14.8382,+55 03 31.645,14,14,0.0192,0.0191,90,A,O,2020yCat.1350....0G,5.1958,7.9,8.03,Star,0
HD 203094,21 18 01.4631,+55 16 10.725,14,14,0.0278,0.0276,90,A,O,2020yCat.1350....0G,3.8277,8.32,8.39,Star,0
HD 203168,21 18 30.3125,+55 05 07.417,14,14,0.0147,0.0132,90,A,O,2020yCat.1350....0G,2.9894,8.65,8.85,Star,0
HD 235493,21 20 53.6949,+55 31 19.673,14,14,0.056,0.0623,90,A,O,2020yCat.1350....0G,2.4037,9.93,10.25,Star,0
HD 235494,21 20 55.4217,+55 24 31.747,14,14,0.1126,0.1109,90,A,O,2020yCat.1350....0G,3.8697,9.65,10.15,SB*,0
HD 235501,21 21 41.8923,+55 25 26.831,14,14,0.0244,0.025,90,A,O,2020yCat.1350....0G,0.7697,9.39,9.63,Star,0
HD 235509,21 24 21.8573,+55 36 22.809,14,14,0.0114,0.0109,90,A,O,2020yCat.1350....0G,5.4318,9.18,9.5,Star,0
V* FZ Cep,21 19 42.7748,+55 27 00.257,14,14,0.053,0.0516,90,A,O,2020yCat.1350....0G,2.7594,7.32,8.74,LongPeriodV*,0
IRAS 21110+5652,21 12 27.5728,+57 04 34.824,14,14,0.0145,0.0149,90,A,O,2020yCat.1350....0G,1.1383,9.31,11.2,Star,0
IRAS 21141+5431,21 15 38.7831,+54 43 46.447,14,14,0.0136,0.0127,90,A,O,2020yCat.1350....0G,1.3483,9.94,11.45,Star,0
IRAS 21147+5611,21 16 14.5683,+56 24 34.521,14,14,0.0133,0.0138,90,A,O,2020yCat.1350....0G,1.7897,9.51,11.64,Star,0
Cl Trumpler   37    61,21 14 21.6080,+57 03 19.768,14,14,0.0104,0.0101,90,A,O,2020yCat.1350....0G,2.615,9.99,11.14,HighPM*,0
BD+56  2553,21 17 54.2554,+56 48 07.385,14,14,0.0728,0.0695,90,A,O,2020yCat.1350....0G,0.7526,9.98,11.32,Star,0
HD 200464,21 01 20.6712,+56 15 18.693,14,14,0.0243,0.0225,90,A,O,2020yCat.1350....0G,3.2179,8.35,8.39,Star,0
HD 239551,21 03 01.7703,+55 59 57.243,14,14,0.0189,0.0192,90,A,O,2020yCat.1350....0G,3.2361,9.9,10.11,Star,0
HD 239569,21 05 46.5972,+55 38 59.752,14,14,0.0123,0.0121,90,A,O,2020yCat.1350....0G,5.0192,9.71,10.19,HighPM*,0
